Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Days_Since_Release,Stream_Velocity,is_breakout,Release_Month,Virality_Ratio,Breakout_Probability
Baby Shark,Baby Shark & More Kids Songs,Super Simple Songs,2017-03-24,TCADE1784654,"3,749",22.1,53980875.0,4005.0,631145.0,55.0,1065036315.0,"1,487,277",490.0,10111,386999.0,"48,369,630",2.0,0.0,2.0,"2,138",3.0,"29,717,004","200,452",21831.0,0,3219,16769.454799627212,0,3,0.00716918710248422,0.0
BARBIEZ,Pa las Baby's Y Belikeada,Fuerza Regida,2023-10-20,QZ9QQ2300783,"3,759",22.1,90149537.0,6289.0,7279462.0,67.0,61433874.0,"291,107",17800.0,3515375,38602611.0,"82,109,940",10.0,23.0,2.0,318,1.0,"3,835,787","2,723",333572.0,1,818,110207.25794621027,0,10,0.4282064207583626,0.0
Coladin,Indï¿½ï¿½,Z Vaqu,2022-10-27,BCZZV2200032,"3,760",22.1,68110254.0,5563.0,9739787.0,62.0,220238857.0,"1,027,402",293100.0,10599831,175981880.0,"203,704,889",13.0,35.0,25.0,"498,753",2.0,678,0,71663.0,0,1176,57916.88265306123,0,10,2.5837794910619554,0.005809792843691149
"Coca Cola (From ""Luka Chuppi"")","Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,2019-02-04,INS181900274,"3,757",22.1,84890640.0,8746.0,5016334.0,59.0,939513536.0,"3,629,985",30600.0,496273,7092486.0,"138,637,329",17.0,723.0,,,3.0,0,0,141007.0,0,2537,33461.03271580607,0,2,0.08354850330320865,0.0
Los Botones Azules,Mi Vida En Un Cigarro 2,Junior H,2022-02-11,USWL12200130,"3,758",22.1,409608018.0,35760.0,13777862.0,70.0,144073017.0,"744,920",121400.0,26034148,274609855.0,,17.0,30.0,3.0,"173,358",8.0,"39,188,317","8,249",522412.0,0,1434,285640.179916318,0,2,0.6704210910480246,4.1666666666666665e-05
All By Myself,All By Myself,Alok,2022-10-07,DEE862201655,"3,764",22.1,153478699.0,23576.0,35626223.0,68.0,8834684.0,"103,744",0.0,0,0.0,"13,208,107",66.0,157225.0,74.0,"2,068,935",18.0,"106,577",65,1187709.0,0,1196,128326.67140468227,0,10,0.0,4.1666666666666665e-05
Dj Balada Boa X Pika Pika Kawenimeri,Dj Balada Boa X Pika Pika Kawenimeri,DJ USUP,2022-03-02,SGB502208098,"3,762",22.1,302568.0,285.0,25137.0,7.0,148269610.0,,2957617.0,99826326,2026344214.0,,0.0,0.0,,,,0,0,854584.0,0,1415,213.82897526501768,1,3,6697.130948643119,0.9995078314866237
Joli b,Joli bï¿½ï¿,Naza,2020-09-11,FRX762022181,"3,755",22.1,131677140.0,35653.0,2205297.0,57.0,198494925.0,"1,095,673",1502712.0,37799046,559416339.0,"7,459,129",28.0,8632.0,13.0,"168,510",2.0,"3,269",0,1009225.0,1,1952,67457.5512295082,0,9,4.248393720820533,0.0002542372881355932
Time of Our Lives,Time of Our Lives,Pitbull,2014-11-17,USRC11402647,"3,739",22.1,1283683926.0,203125.0,103528914.0,79.0,351633773.0,"2,243,784",382535.0,88186338,590688494.0,"150,511,593",140.0,81.0,55.0,"140,012",7.0,0,0,8020959.0,1,4077,314859.92788815306,0,11,0.4601510399685794,0.05548051948051947
Blood // Water,Blood / / Water,grandson,2017-10-27,TCADI1720999,"3,745",22.1,658966178.0,132079.0,18302636.0,68.0,218493561.0,"3,016,621",810429.0,139586105,1291420904.0,"12,908,888",10.0,2220.0,19.0,"142,206",15.0,"37,447,857","81,404",854584.0,0,3002,219509.05329780147,1,10,1.9597681112553729,0.955325190959732
Famous Hoes,Famous Hoes,NLE Choppa,2019-12-10,USWB11903266,"3,753",22.1,126680278.0,37176.0,2555897.0,54.0,114034780.0,"1,082,538",23040.0,1288203,10857910.0,"617,599",3.0,0.0,3.0,"7,366",,"5,357,445","18,162",225260.0,1,2228,56858.29353680431,0,12,0.08571113109089379,0.0
AMOR PROPIO,AMOR PROPIO,Grupo Frontera,2023-10-19,DGA0H2357875,"3,756",22.1,59582290.0,3988.0,5490306.0,67.0,72157125.0,"363,308",58300.0,9130133,102839961.0,"253,986,639",4.0,1906.0,6.0,"7,084,186",,"7,059,759",810,181211.0,0,819,72750.04884004884,0,10,1.7260155538497168,0.0
Wreckage,Wreckage,Pearl Jam,2024-04-17,USUG12309753,"3,750",22.1,6247901.0,887.0,15777506.0,67.0,663933.0,"13,751",0.0,0,0.0,,20.0,21108.0,5.0,"199,564",40.0,"961,938",114,83381.0,1,638,9792.948275862069,0,4,0.0,0.0
This Town,This Town,Niall Horan,2016-09-29,USUG11601029,"3,743",22.1,957810500.0,107486.0,73687531.0,74.0,174370096.0,"2,856,158",309815.0,26476462,159860013.0,"14,483,762",104.0,19825.0,28.0,"109,552",12.0,"168,215,252","76,529",5142901.0,0,3395,282123.8586156112,0,9,0.16690150382888733,0.0
Maybe Youre The P,Maybe Youï¿½ï¿½ï¿½re The P,Ava Max,2022-04-28,USAT22203651,"3,761",22.1,181659395.0,24137.0,10925511.0,62.0,50640948.0,"470,130",7766.0,5336041,87012707.0,"2,764,048,939",53.0,186049.0,29.0,"602,060",12.0,"3,213,326","1,247",1366573.0,0,1358,133769.80486008836,0,4,0.47898819943230464,4.1666666666666665e-05
Lil Bit,Lil Bit,Nelly,2020-10-23,USQX92003343,"3,792",22.0,250828412.0,40989.0,10401884.0,61.0,47811498.0,"451,406",107173.0,16852819,158825909.0,"197,197",47.0,52253.0,3.0,78,22.0,"269,930,288","58,967",1557518.0,1,1910,131323.77591623037,0,10,0.6332054136147646,4.1666666666666665e-05
Nenas,Nenas,Anni K,2022-11-25,QZNW72249626,"3,790",22.0,22362.0,5.0,22387.0,10.0,312422708.0,"1,133,105",0.0,0,0.0,,0.0,4.0,,,,0,0,854584.0,0,1147,19.49607672188317,0,11,0.0,0.0
Rainy Days,Layover,V,2023-08-11,USA2P2339028,"3,776",22.0,253540909.0,10383.0,13943814.0,70.0,67113019.0,"3,432,701",866.0,1173702,5236353.0,"119,265,847",4.0,1454.0,7.0,"115,953",6.0,"2,140,518",455,258925.0,0,888,285519.0416666667,0,8,0.02065289187453023,0.0
Disaster,Disaster - Single,KSLV Noh,2021-06-21,QZHNC2184834,"3,784",22.0,258379092.0,72424.0,23939335.0,65.0,54540038.0,"1,019,009",789667.0,165449639,1863921422.0,"28,228",12.0,1.0,2.0,"83,044",,0,0,1139004.0,0,1669,154810.72019173158,1,6,7.213901869374547,0.9803939148542691
Feelings,Feelings,Sumit Goswami,2020-07-07,INS172001990,"3,773",22.0,42067554.0,4380.0,426039.0,54.0,698286046.0,"7,544,844",78400.0,666432,7829359.0,"156,384,597",0.0,0.0,,,,0,0,125809.0,0,2018,20846.16154608524,0,7,0.18611395409122303,0.0
Trouble With A Heartbreak,Trouble With A Heartbreak,Jason Aldean,2022-01-14,QMRSZ2102055,"3,770",22.0,54488988.0,10962.0,1379201.0,4.0,29552269.0,"223,336",12866.0,1632207,14048502.0,"230,979,355",0.0,279457.0,1.0,"8,054",,"83,448,303","4,944",854584.0,0,1462,37270.16963064295,0,1,0.25782276855971764,0.0
Los Collares,Los Collares,Oscar Maydon,2022-09-30,USANG2210588,"3,769",22.0,332741927.0,23892.0,9122511.0,72.0,150888295.0,"609,166",23800.0,10579568,86648762.0,,5.0,0.0,,,1.0,"244,982",553,332463.0,0,1203,276593.45552784705,0,9,0.2604083065840744,0.0
BLAQ ON BLAQ (feat. Luciano),BLAQ ON BLAQ (feat. Luciano),HoodBlaq,2024-05-30,DEKF22400486,"3,772",22.0,8033479.0,1347.0,7618938.0,70.0,1247875.0,"50,363",0.0,0,0.0,,11.0,133.0,6.0,"2,740,152",8.0,0,0,11608.0,1,595,13501.64537815126,0,5,0.0,0.0
Memories (feat. Kid Cudi),VIVA Club Rotation (Vol. 46),Kid Cudi,2008-12-05,FRZID0900480,"3,778",22.0,923932404.0,261469.0,53941189.0,63.0,589202937.0,"3,297,320",818905.0,254252068,1972131587.0,"146,327,127",64.0,23424.0,62.0,"1,176,459",24.0,"215,592,925","162,928",8619668.0,0,6250,147829.18464,1,12,2.1344976930428152,0.7385330917388844
It's That Time,It's That Time,Marlon Hoffstadt,2023-04-21,QM4TX2371595,"3,789",22.0,29365536.0,28087.0,18522511.0,62.0,3502786.0,"57,445",13139.0,11053278,124006258.0,,4.0,2430.0,4.0,"84,348",18.0,"1,387",0,343152.0,0,1000,29365.536,0,4,4.222850002708958,0.0
